Timestamp,Week,Node,Cell,PRB_Usage_Percentage
2024-05-21 15:00:00,2024-20,BTA El Ensueno,B28_6,91.7038
2024-05-25 11:00:00,2024-20,BTA El Ensueno,B28_6,91.138
2024-05-24 21:00:00,2024-20,BTA El Ensueno,B28_6,90.9592
2024-05-23 15:00:00,2024-20,BTA El Ensueno,B28_6,90.91
2024-05-21 22:00:00,2024-20,BTA El Ensueno,B28_6,90.8936
2024-05-25 23:00:00,2024-20,BTA El Ensueno,B28_6,90.8838
2024-05-25 10:00:00,2024-20,BTA El Ensueno,B28_6,90.3272
2024-05-23 20:00:00,2024-20,BTA El Ensueno,B28_6,89.977
2024-05-23 22:00:00,2024-20,BTA El Ensueno,B28_6,89.8148
2024-05-20 12:00:00,2024-20,BTA El Ensueno,B28_6,89.338
2024-05-23 18:00:00,2024-20,BTA El Ensueno,B28_6,89.1028
2024-05-22 23:00:00,2024-20,BTA El Ensueno,B28_6,87.8182
2024-05-21 17:00:00,2024-20,BTA El Ensueno,B28_6,86.9774
2024-05-22 20:00:00,2024-20,BTA El Ensueno,B7_7,96.5146
2024-05-20 21:00:00,2024-20,BTA El Ensueno,B7_7,95.418
2024-05-20 19:00:00,2024-20,BTA El Ensueno,B7_7,95.0842
2024-05-20 20:00:00,2024-20,BTA El Ensueno,B7_7,93.0768
2024-05-21 21:00:00,2024-20,BTA El Ensueno,B7_7,92.7982
2024-05-21 20:00:00,2024-20,BTA El Ensueno,B7_7,92.574
2024-05-22 19:00:00,2024-20,BTA El Ensueno,B7_7,92.541
2024-05-21 19:00:00,2024-20,BTA El Ensueno,B7_7,91.7374
2024-05-25 21:00:00,2024-20,BTA El Ensueno,B7_7,91.375
2024-05-22 21:00:00,2024-20,BTA El Ensueno,B7_7,90.9138
2024-05-23 19:00:00,2024-20,BTA El Ensueno,B7_7,90.789
2024-05-20 18:00:00,2024-20,BTA El Ensueno,B7_7,90.678
2024-05-25 18:00:00,2024-20,BTA El Ensueno,B7_7,89.5154
2024-05-22 18:00:00,2024-20,BTA El Ensueno,B7_7,88.9682
2024-05-23 20:00:00,2024-20,BTA El Ensueno,B7_7,88.9422
2024-05-25 17:00:00,2024-20,BTA El Ensueno,B7_7,88.906
2024-05-24 21:00:00,2024-20,BTA El Ensueno,B7_7,88.3202
2024-05-25 22:00:00,2024-20,BTA El Ensueno,B7_7,88.3042
2024-05-22 17:00:00,2024-20,BTA El Ensueno,B7_7,87.6182
2024-05-20 16:00:00,2024-20,BTA El Ensueno,B7_7,87.4124
2024-05-23 21:00:00,2024-20,BTA El Ensueno,B7_7,85.7954
2024-05-23 18:00:00,2024-20,BTA El Ensueno,B7_7,85.643
2024-05-22 22:00:00,2024-20,BTA El Ensueno,B7_7,85.0826
2024-05-21 18:00:00,2024-20,BTA El Ensueno,B7_7,84.5124
2024-05-25 15:00:00,2024-20,BTA El Ensueno,B7_7,84.0404
2024-05-25 09:00:00,2024-20,BTA El Ensueno,B7_7,83.9868
2024-05-25 19:00:00,2024-20,BTA El Ensueno,B7_7,83.8324
2024-05-20 11:00:00,2024-20,BTA El Ensueno,B7_7,83.1748
2024-05-22 13:00:00,2024-20,BTA El Ensueno,B7_7,83.1402
2024-05-24 19:00:00,2024-20,BTA El Ensueno,B7_7,83.0278
2024-05-21 22:00:00,2024-20,BTA El Ensueno,B7_7,82.5438
2024-05-25 20:00:00,2024-20,BTA El Ensueno,B7_7,82.1648
2024-05-25 16:00:00,2024-20,BTA El Ensueno,B7_7,82.0948
2024-05-25 23:00:00,2024-20,BTA El Ensueno,B7_7,81.9802
2024-05-20 13:00:00,2024-20,BTA El Ensueno,B7_7,81.8014
2024-05-20 14:00:00,2024-20,BTA El Ensueno,B7_7,81.4008
2024-05-23 20:00:00,2024-20,BTA El Ensueno,B7_8,89.2002
2024-05-22 18:00:00,2024-20,BTA El Ensueno,B7_8,83.8564
2024-05-20 17:00:00,2024-20,BTA El Ensueno,B7_8,80.5556
2024-05-22 22:00:00,2024-20,BTA El Ensueno,B7_8,80.475
2024-05-21 21:00:00,2024-20,BTA El Ensueno,B7_8,78.7208
2024-05-25 09:00:00,2024-20,BTA El Ensueno,B7_8,78.4278
2024-05-20 20:00:00,2024-20,BTA El Ensueno,B7_8,77.5244
2024-05-22 20:00:00,2024-20,BTA El Ensueno,B7_8,77.3198
2024-05-22 14:00:00,2024-20,BTA El Ensueno,B7_8,77.0382
2024-05-23 19:00:00,2024-20,BTA El Ensueno,B7_8,76.3258
2024-05-22 19:00:00,2024-20,BTA El Ensueno,B7_8,75.4802
2024-05-22 21:00:00,2024-20,BTA El Ensueno,B7_8,74.8036
2024-05-25 18:00:00,2024-20,BTA El Ensueno,B7_8,74.1472
2024-05-20 18:00:00,2024-20,BTA El Ensueno,B7_8,73.3554
2024-05-20 19:00:00,2024-20,BTA El Ensueno,B7_8,73.0234
2024-05-23 22:00:00,2024-20,BTA El Ensueno,B7_8,72.9234
2024-05-25 17:00:00,2024-20,BTA El Ensueno,B7_8,72.5512
2024-05-25 11:00:00,2024-20,BTA El Ensueno,B7_8,72.4638
2024-05-25 22:00:00,2024-20,BTA El Ensueno,B7_8,71.5848
2024-05-23 21:00:00,2024-20,BTA El Ensueno,B7_8,71.431
2024-05-24 21:00:00,2024-20,BTA El Ensueno,B7_8,71.147
2024-05-20 21:00:00,2024-20,BTA El Ensueno,B7_8,70.6514
