timestamp,node_name,cell_name,l_traffic_activeuser_dl_avg,l_traffic_activeuser_dl_max,l_traffic_activeuser_ul_avg,l_traffic_activeuser_dl_max_1,l_traffic_user_avg,l_traffic_user_max,l_chmeas_prb_dl_avail,l_chmeas_prb_dl_used_avg,l_chmeas_prb_ul_avail,l_chmeas_prb_ul_used_avg,l_thrp_bits_dl,l_thrp_bits_ul,dl_prb_usage,ul_prb_usage,user_exp
2024-05-20 09:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_4,1.6969,11,1.2397,11,16.0625,29,50,34.018,50,12.8575,17127824592,1042319048,68.036,25.715,3.316711256689324
2024-05-20 10:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_2,0.7598,8,0.5017,6,12.9261,22,50,20.2522,50,9.2576,16964174584,1909316832,40.5044,18.5152,8.458668651907507
2024-05-20 10:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_1,2.1613,14,1.4649,12,33.9697,51,50,36.4472,50,17.9925,33281293616,2758252040,72.8944,35.985,5.473701062146161
2024-05-20 10:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_6,1.7556,11,1.4455,9,16.3668,26,50,30.5158,50,14.9051,15745115856,1396562128,61.0316,29.8102,3.988350321446574
2024-05-20 10:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_5,0.9409,9,0.6545,7,12.4512,21,50,22.7402,50,10.2291,17856554368,1992152216,45.4804,20.4582,7.126503472538872
2024-05-20 10:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_4,1.6947,10,1.0038,9,13.292,27,50,37.3697,50,11.8221,18016157232,1123091064,74.7394,23.6442,3.182539299715209
2024-05-20 10:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_9,1.0788,9,0.6197,6,24.3615,40,50,23.0012,50,13.1244,23608012576,1191397728,46.0024,26.2488,9.651570868799205
2024-05-20 10:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_8,1.0406,10,0.8373,8,29.2706,44,50,22.4685,50,14.408,24283581552,1583444904,44.937,28.815999999999995,10.148606335552126
2024-05-20 10:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_7,3.3699,18,2.0613,13,58.7794,80,50,38.8594,50,20.7684,53634536128,4665784512,77.7188,41.5368,6.7174503531751135
2024-05-20 10:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_3,1.3137,13,0.7857,10,16.97,31,50,24.8652,50,11.7328,20267575712,1880040184,49.7304,23.4656,6.714952601696478
